1-1	那是力争上游的一种树，笔直的干，笔直的枝。
2-17	“现在#1请您坐到这把椅子上#1一句话也不要说，看看阿诺德怎么说。”
2-18	阿诺德很快就从集市上回来了。
2-19	向老板汇报说#1到现在为止只有一个农民在卖土豆，
2-20	一共四十口袋，价格是多少多少；
2-21	土豆质量很不错，他带回来一个#1让老板看看。
2-22	这个农民一个钟头以后#1还会弄来几箱西红柿，据他看#1价格非常公道。
2-23	昨天他们铺子的西红柿#1卖得很快，库存已经不多了。
2-24	他想#1这么便宜的西红柿，老板肯定会要进一些的，
2-25	所以#1他不仅带回了一个西红柿#1做样品，
2-26	而且#!把那个农民#1也带来了，他现在#1正在外面等回话呢。
2-27	此时#1老板转向了布鲁诺，
2-28	说：“现在您肯定知道为什么阿诺德的薪水比您高了吧！”
2-29	节选自#1张健鹏、胡足青主编#1《故事时代》中《差别》
3-0	作品3号#1《丑石》
3-1	我常常遗憾#1我家门前那块丑石：
3-2	它黑黝黝地#1卧在那里，牛似的模样；
3-3	谁也不知道#1是什么时候留在这里的，谁也不去理会它。
3-4	只是麦收时节，门前摊了麦子，奶奶总是说：
3-5	这块丑石，多占地面呀，抽空把它搬走吧。
3-6	它不像汉白玉那样的细腻，可以刻字雕花，
3-7	也不像大青石那样的光滑，可以供来#1浣纱捶布。
3-8	它静静地卧在那里，院边的槐阴#1没有庇覆它，
3-9	花儿#1也不再在它身边生长。
3-10	荒草#1便繁衍出来，枝蔓上下，慢慢地，它竟锈上了绿苔、黑斑。
3-11	我们这些#1做孩子的，也讨厌起它来，
3-12	曾合伙要搬走它，但力气又不足；
3-13	虽时时咒骂它，嫌弃它，也无可奈何，只好任它留在那里了。
3-14	终有一日，村子里#1来了一个天文学家。
3-15	他在我家门前路过，突然发现了这块石头，眼光立即就拉直了。
3-16	他再没有离开，就住了下来；
3-17	以后#1又来了好些人，都说#1这是一块陨石，
3-18	从天上落下来#1已经有二三百年了，是一件#1了不起的东西。
3-19	不久#1便来了车，小心翼翼地#1将它运走了。
3-20	这使我们都很惊奇，这又怪又丑的石头，原来是天上的啊！
3-21	它补过天，在天上发过热、闪过光，
3-22	我们的先祖#1或许仰望过它，它给了他们光明、向往、憧憬；
3-23	而它落下来了，在污土里，荒草里，一躺#1就是几百年了！
3-24	我感到自己的无知，也感到了丑石的伟大，
3-25	我甚至怨恨它#1这么多年#1竟会默默地忍受着这一切！
3-26	而我又立即深深地感到#1它那种不屈于误解、寂寞的#1生存的伟大。
3-27	节选自#1贾平凹《丑石》
4-0	作品4号#1《达瑞的故事》
4-1	在达瑞八岁的时候，有一天#1他想去看电影。
4-2	因为没有钱，他想#1是向爸妈要钱，还是自己挣钱。
4-3	最后#1他选择了后者。
4-4	他自己调制了一种汽水，向过路的行人出售。
4-5	可那时#1正是寒冷的冬天，没有人买，
4-6	只有两个人例外——他的爸爸和妈妈。
4-7	他偶然#1有一个和非常成功的商人#1谈话的机会。
4-8	当他对商人讲述了自己的“破产史”后，商人给了他两个重要的建议：
4-9	一是#1尝试为别人解决一个难题；
4-10	二是#1把精力集中在你知道的、你会的#1和你拥有的东西上。
4-11	这两个建议很关键。
4-12	因为对于一个八岁的孩子而言，他不会做的事情很多。
4-13	于是#1他穿过大街小巷，不停地思考：
4-14	人们会有什么难题，他又如何#1利用这个机会？
4-15	一天，吃早饭时#1父亲让达瑞去取报纸。
4-16	美国的送报员#1总是把报纸从花园篱笆的一个特制的管子里塞进来。
4-17	假如#1你想穿着睡衣#1舒舒服服地吃早饭#1和看报纸，
4-18	就必须离开温暖的房间，冒着寒风，到花园去取。
4-19	虽然路短，但十分麻烦。
4-20	当达瑞为父亲取报纸的时候，一个主意诞生了。
4-21	当天#1他就按响邻居的门铃，对他们说，每个月只需付给他一美元，
4-22	他就每天早上#1把报纸#1塞到他们的房门底下。
4-23	大多数人都同意了，很快#1他有了七十多个顾客。
4-24	一个月后，当他拿到自己赚的钱时，觉得自己#1简直是飞上了天。
4-25	很快#1他又有了新的机会，他让他的顾客#1每天把垃圾袋放在门前，
4-26	然后#1由他早上#1运到垃圾桶里，每个月#1加一美元。
4-27	之后#1他还想出了许多孩子赚钱的办法，并把它集结成书，
4-28	书名为#1《儿童挣钱的#1二百五十个主意》。
4-29	为此，达瑞十二岁时#1就成了畅销书作家，
4-30	十五岁#1有了自己的谈话节目，十七岁#1就拥有了几百万美元。
4-31	节选自#1[德]博多·舍费尔#1《达瑞的故事》，刘志明译
5-0	作品5号#1《第一场雪》
5-1	这是入冬以来，胶东半岛上#1第一场雪。
5-2	雪纷纷扬扬，下得很大。
5-3	开始#1还伴着一阵儿小雨，不久#1就只见#1大片大片的雪花，
5-4	从彤云密布的天空中飘落下来。
5-5	地面上一会儿就白了。
5-6	冬天的山村，到了夜里#1就万籁俱寂，
5-7	只听得雪花#1簌簌地#1不断往下落，
5-8	树木的枯枝#1被雪压断了，偶尔#1咯吱一声响。
5-9	大雪整整下了一夜。
5-10	今天早晨，天放晴了，太阳出来了。
5-11	推开门一看，嗬！好大的雪啊！
5-12	山川、河流、树木、房屋，全都罩上了一层#1厚厚的雪，
5-13	万里江山，变成了#1粉妆玉砌的世界。
5-14	落光了叶子的柳树上#1挂满了毛茸茸#1亮晶晶的银条儿；
5-15	而那些冬夏常青的松树和柏树上，则挂满了#1蓬松松#1沉甸甸的雪球儿。
5-16	一阵风吹来，树枝轻轻地摇晃，
5-17	美丽的银条儿和雪球儿#1簌簌地落下来，玉屑似的雪末儿#1随风飘扬，
5-18	映着清晨的阳光，显出一道道#1五光十色的彩虹。
5-19	大街上的积雪#1足有一尺多深，
5-20	人踩上去，脚底下#1发出咯吱咯吱的响声。
5-21	一群群孩子在雪地里堆雪人，掷雪球。
5-22	那欢乐的叫喊声，把树枝上的雪#1都震落下来了。
5-23	俗话说，“瑞雪兆丰年”。
5-24	这个话#1有充分的科学根据，并不是一句迷信的成语。
5-25	寒冬大雪，可以冻死一部分#1越冬的害虫；
5-26	融化了的水#1渗进土层深处，又能供应#1庄稼生长的需要。
5-27	我相信#1这一场十分及时的大雪，
5-28	一定会促进明年春季作物，尤其是小麦的丰收。
5-29	有经验的老农#1把雪比做是“麦子的棉被”。
5-30	冬天“棉被”盖得越厚，
5-31	明春麦子就长得越好，所以又有这样一句谚语：
5-32	“冬天麦盖三层被，来年枕着馒头睡”。
5-33	我想，这#1就是人们为什么把及时的大雪#1称为“瑞雪”的道理吧。
5-34	节选自#1峻青《第一场雪》
6-0	作品6号#1《读书人是幸福人》
6-1	我常想#1读书人#1是世间幸福人，
6-2	因为#1他除了拥有现实的世界之外，
6-3	还拥有另一个#1更为浩瀚#1也更为丰富的世界。
6-4	现实的世界#1是人人都有的，而后一个世界却为读书人所独有。
6-5	由此我想，那些失去#1或不能阅读的人#1是多么的不幸，
6-6	他们的丧失#1是不可补偿的。
6-7	世间有诸多的不平等，
6-8	财富的不平等，权力的不平等，
6-9	而阅读能力的拥有或丧失#1却体现为精神的不平等。
6-10	一个人的一生，
6-11	只能经历自己拥有的#1那一份欣悦，那一份苦难，
6-12	也许#1再加上他亲自闻知的#1那一些关于自身以外的经历和经验。
6-13	然而，人们通过阅读，却能进入不同时空的#1诸多他人的世界。
6-14	这样，具有阅读能力的人，
6-15	无形间获得了#1超越有限生命的#1无限可能性。
6-16	阅读不仅使他多识了草木虫鱼之名，
6-17	而且可以上溯远古#1下及未来，
6-18	饱览存在的与非存在的奇风异俗。
6-19	更为重要的是，读书#1加惠于人们的#1不仅是知识的增广，
6-20	而且还在于精神的感化与陶冶。
6-21	人们从读书学做人，
6-22	从那些往哲先贤#1以及当代才俊的著述中#1学得他们的人格。
6-23	人们从《论语》中#1学得智慧的思考，
6-24	从《史记》中#1学得严肃的历史精神，从《正气歌》中#1学得人格的刚烈，
6-25	从马克思#1学得人世的激情，从鲁迅#1学得批判精神，
6-26	从托尔斯泰#1学得道德的执着。
6-27	歌德的诗句#1刻写着睿智的人生，
6-28	拜伦的诗句#1呼唤着奋斗的热情。
6-29	一个读书人，一个有机会#1拥有超乎个人生命体验的#1幸运人。
6-30	节选自#1谢冕#1《读书人是幸福人》
7-0	作品7号#1《二十美金的价值》
7-1	一天，爸爸下班回到家#1已经很晚了，他很累#1也有点儿烦，
7-2	他发现#1五岁的儿子靠在门旁#1正等着他。
7-3	“爸，我可以问您一个问题吗？”
7-4	“什么问题？”
7-5	“爸，您一小时可以赚多少钱?”
7-6	“这与你无关，你为什么问这个问题?”
7-7	父亲生气地说。
7-8	“我只是想知道，请告诉我，您一小时赚多少钱?”
7-9	小孩儿哀求道。
7-10	“假如#1你一定要知道的话，我一小时赚二十美金。”
7-11	“哦，”
7-12	小孩儿低下了头，接着又说，
7-13	“爸，可以借我十美金吗?”
7-14	父亲发怒了：
7-15	“如果你只是要借钱#1去买毫无意义的玩具的话，给我回到你的房间睡觉去。
7-16	好好想想为什么你会那么自私。
7-17	我每天辛苦工作，没时间和你玩儿小孩子的游戏。”
7-18	小孩儿默默地回到自己的房间#1关上门。
7-19	父亲坐下来还在生气。
7-20	后来，他平静下来了。
7-21	心想#1他可能对孩子太凶了——或许#1孩子真的很想买什么东西，
7-22	再说#1他平时很少要过钱。
7-23	父亲走进孩子的房间：
7-24	“你睡了吗?”
7-25	“爸，还没有，我还醒着。”
7-26	孩子回答。
7-27	“我刚才#1可能对你太凶了，”
7-28	父亲说，“我不应该发那么大的火儿——这是你要的十美金。”
7-29	“爸，谢谢您。”
7-30	孩子高兴地#1从枕头下拿出一些被弄皱的钞票，慢慢地数着。
7-31	“为什么你已经有钱了还要？”
7-32	父亲#1不解地问。
7-33	“因为原来不够，但现在凑够了。”
7-34	孩子回答：
7-35	“爸，我现在有二十美金了，我可以向您买一个小时的时间吗？
7-36	明天#1请早一点儿回家——我想和您#1一起吃晚餐。”
7-37	节选自#1唐继柳编译#1《二十美金的价值》
8-0	作品8号#1《繁星》
8-1	我爱月夜，但我也爱星天。
8-2	从前在家乡七八月的夜晚#1在庭院里纳凉的时候，
8-3	我最爱看天上密密麻麻的繁星。
8-4	望着星天，我就会忘记一切，仿佛回到了#1母亲的怀里似的。
8-5	三年前#1在南京我住的地方31有一道后门，
8-6	每晚我打开后门，便看见一个#1静寂的夜。
8-7	下面是一片菜园，上面#1是星群密布的蓝天。
8-8	星光在我们的肉眼里#1虽然微小，
8-9	然而#1它使我们觉得#1光明无处不在。
8-10	那时候#1我正在读一些天文学的书，也认得一些星星，
8-11	好像它们#1就是我的朋友，它们常常#1在和我谈话一样。
8-12	如今在海上，每晚和繁星相对，我把它们#1认得很熟了。
8-13	我躺在舱面上，仰望天空。
8-14	深蓝色的天空里#1悬着无数#1半明半昧的星。
8-15	船在动，星也在动，
8-16	它们是这样低，真是摇摇欲坠呢！
8-17	渐渐地#1我的眼睛模糊了，
8-18	我好像看见无数萤火虫#1在我的周围飞舞。
8-19	海上的夜#1是柔和的，是静寂的，是梦幻的。
8-20	我望着许多认识的星，我仿佛看见#1它们在对我眨眼，
8-21	我仿佛听见#1它们在小声说话。
8-22	这时#1我忘记了一切。
8-23	在星的怀抱中#1我微笑着，我沉睡着。
8-24	我觉得自己是一个小孩子，现在睡在母亲的怀里了。
8-25	有一夜，那个在哥伦波上船的英国人#1指给我看天上的巨人。
8-26	他用手指着：
8-27	那四颗明亮的星#1是头，下面的几颗#1是身子，
8-28	这几颗是手，那几颗是#1腿和脚，还有三颗星#1算是腰带。
8-29	经他这一番指点，我果然看清楚了#1那个天上的巨人。
8-30	看，那个巨人#1还在跑呢！
8-31	节选自#1巴金#1《繁星》
9-0	作品9号#1《风筝畅想曲》
9-1	假日#1到河滩上转转，看见许多孩子#1在放风筝。
9-2	一根根长长的引线，一头系在天上，一头系在地上。
9-3	孩子同风筝#1都在天与地之间悠荡，
9-4	连心#1也被悠荡得恍恍惚惚了，好像#1又回到了童年。
9-5	儿时放的风筝，大多#1是自己的长辈#1或家人编扎的。
9-6	几根削得很薄的篾，用细纱线#1扎成各种鸟兽的造型，
9-7	糊上雪白的纸片，再用彩笔#1勾勒出面孔#1与翅膀的图案。
9-8	通常扎得最多的#1是“老雕”“美人儿”“花蝴蝶”等。
9-9	我们家前院#1就有位叔叔，擅扎风筝，远近闻名。
9-10	他扎得风筝#1不只体型好看，色彩艳丽，放飞得高远，
9-11	还在风筝上#1绷一叶#1用蒲苇#1削成的膜片。
9-12	经风一吹，发出“嗡嗡”的声响，仿佛#1是风筝的歌唱，
9-13	在蓝天下播扬，给开阔的天地#1增添了无尽的韵味，
9-14	给驰荡的童心#1带来几分疯狂。
9-15	我们那条#1胡同的左邻右舍的孩子们放的风筝#1几乎都是叔叔编扎的。
9-16	他的风筝不卖钱，谁上门去要，就给谁，他乐意自己贴钱买材料。
9-17	后来，这位叔叔#1去了海外，放风筝#1也渐与孩子们远离了。
9-18	不过年年叔叔给家乡写信，总不忘提起#1儿时的放风筝。
9-19	香港回归之后，他在家信中说到：
9-20	他这只#1被故乡#1放飞到海外的风筝，尽管飘荡游弋，
9-21	经沐风雨，可那线头儿#1一直在故乡和亲人手中牵着。
9-22	如今飘得太累了，也该要回归到家乡和亲人身边来了。
9-23	是的。
9-24	我想，不光是叔叔，我们每个人#1都是风筝，
9-25	在妈妈手中牵着，从小放到大，
9-26	再从家乡#1放到祖国最需要的地方去啊！
9-27	节选自#1李恒瑞#1《风筝畅想曲》
10-0	作品10号#1《父亲的爱》
10-1	爸不懂得怎样表达爱，使我们一家人#1融洽相处的#1是我妈。
10-2	他只是每天上班下班，
10-3	而妈则把我们做过的错事#1开列清单，然后#1由他来责骂我们。
10-4	有一次#1我偷了一块糖果，他要我把它送回去，
10-5	告诉卖糖的说#1是我偷来的，说我愿意替他拆箱卸货#1作为赔偿。
10-6	但妈妈#1却明白我只是个孩子。
10-7	我在运动场打秋千#1跌断了腿，在前往医院途中#1一直抱着我的，是我妈。
10-8	爸把汽车停在急诊室门口，他们叫他驶开，
10-9	说那空位#1是留给紧急车辆停放的。
10-10	爸听了#1便叫嚷道：
10-11	“你以为这是什么车？旅游车？”
10-12	在我生日会上，爸总是显得#1有些不大相称。
10-13	他只是忙于吹气球，布置餐桌，做杂务。
10-14	把插着蜡烛的蛋糕#1推过来让我吹的，是我妈。
10-15	我翻阅照相册时，人们总是问：“你爸爸是什么样子的？”
10-16	天晓得！
10-17	他老是忙着替别人拍照。
10-18	妈和我笑容可掬地#1一起拍的照片，多得不可胜数。
10-19	我记得#1妈有一次#1叫他教我骑自行车。
10-20	我叫他别放手，但他却说#1是应该放手的时候了。
10-21	我摔倒之后，妈跑过来扶我，爸却挥手要她走开。
10-22	我当时生气极了，决心要给他点儿颜色看。
10-23	于是#1我马上爬上自行车，而且#1自己骑给他看。
10-24	他只是微笑。
10-25	我念大学时，所有的家信#1都是妈写的。
10-26	他除了寄支票外，还寄过一封#1短柬给我，
10-27	说因为#1我不在草坪上踢足球了，所以#1他的草坪长得很美。
10-28	每次我打电话回家，他似乎都想跟我说话，但结果总是说：
10-29	“我叫你妈来接。”
10-30	我结婚时，掉眼泪的是我妈。
10-31	他只是大声擤了一下鼻子，便走出房间。
10-32	我从小到大都听他说：
10-33	“你到哪里去？
10-34	什么时候回家？
10-35	汽车有没有汽油？
10-36	不，不准去。”
10-37	爸完全不知道怎样表达爱。
10-38	除非……
10-39	会不会是他已经表达了，而我却未能察觉？
10-40	节选自#1[美]艾尔玛·邦贝克#1《父亲的爱》
11-0	作品11号#1《国家荣誉感》
11-1	一个大问题#1一直盘踞在我脑袋里：
11-2	世界杯#1怎么会有如此巨大的吸引力？
11-3	除去足球本身的魅力之外，还有什么#1超乎其上#1而更伟大的东西？
11-4	近来观看世界杯，忽然从中得到了答案：
11-5	是由于一种#1无上崇高的精神情感——国家荣誉感！
11-6	地球上的人#1都会有国家的概念，但未必#1时时都有#1国家的感情。
11-7	往往人到异国，思念家乡，心怀故国，
11-8	这国家概念#1就变得有血有肉，爱国之情#1来得非常具体。
11-9	而现代社会，科技昌达，信息快捷，事事上网，
11-10	世界真是太小太小，国家的界限#1似乎#1也不那么清晰了。
11-11	再说足球#1正在快速世界化，平日里各国球员#1频繁转会，
11-12	往来随意，致使越来越多的国家联赛#1都具有国际的因素。
11-13	球员们不论国籍，只效力于#1自己的俱乐部，
11-14	他们比赛时的激情中#1完全没有爱国主义的因子。
11-15	然而，到了世界杯大赛，天下大变。
11-16	各国球员都回国效力，穿上与光荣的国旗#1同样色彩的服装。
11-17	在每一场比赛前，还高唱国歌#1以宣誓#1对自己祖国的挚爱与忠诚。
11-18	一种血缘情感#1开始在全身的血管里#1燃烧起来，
11-19	而且#1立刻热血沸腾。
11-20	在历史时代，国家间经常发生对抗，
11-21	好男儿#1戎装卫国。
11-22	国家的荣誉#1往往需要以自己的生命去换取。
11-23	但在和平时代，唯有这种国家之间大规模对抗性的大赛，
11-24	才可以唤起#1那种遥远而神圣的情感，那就是：
11-25	为祖国而战！
11-26	节选自#1冯骥才#1《国家荣誉感》
12-0	作品12号#1《海滨仲夏夜》
12-1	夕阳落山不久，西方的天空，
12-2	还燃烧着一片#1橘红色的晚霞。
12-3	大海，也被这霞光#1染成了红色，
12-4	而且#1比天空的景色#1更要壮观。
12-5	因为#1它是活动的，每当一排排#1波浪涌起的时候，
12-6	那映照在浪峰上的霞光，又红又亮，
12-7	简直#1就像一片片#1霍霍燃烧着的火焰，闪烁着，消失了。
12-8	而后面的一排，又闪烁着，滚动着，涌了过来。
12-9	天空的霞光渐渐地淡下去了，
12-10	深红的颜色#1变成了绯红，绯红#1又变为浅红。
12-11	最后，当这一切红光#1都消失了的时候，
12-12	那突然显得#1高而远了的天空，则呈现出一片#1肃穆的神色。
12-13	最早出现的启明星，在这蓝色的天幕上#1闪烁起来了。
12-14	它是那么大，那么亮，
12-15	整个广漠的天幕上只有它#1在那里放射着#1令人注目的光辉，
12-16	活像一盏#1悬挂在高空的明灯。
12-17	夜色加浓，苍空中的“明灯”#1越来越多了。
12-18	而城市各处的真的灯火#1也次第亮了起来，
12-19	尤其是#1围绕在海港周围山坡上的那一片灯光。
12-20	从半空#1倒映在乌蓝的海面上，随着波浪，
12-21	晃动着，闪烁着，像一串流动着的珍珠，
12-22	和那一片片密布在苍穹里的星斗#1互相辉映，煞是好看。
12-23	在这幽美的夜色中，我踏着软绵绵的沙滩，
12-24	沿着海边，慢慢地#1向前走去。
12-25	海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。
12-26	晚来的海风，清新#1而又凉爽。
12-27	我的心里，有着说不出的兴奋#1和愉快。
12-28	夜风轻飘飘地吹拂着，
12-29	空气中#1飘荡着一种#1大海#1和田禾相混合的香味儿，
12-30	柔软的沙滩上还残留着白天#1太阳炙晒的余温。
12-31	那些在各个工作岗位上#1劳动了一天的人们，
12-32	三三两两地#1来到这软绵绵的沙滩上。
12-33	他们浴着凉爽的海风，望着#1那缀满了星星的夜空，
12-34	尽情地说笑，尽情地休憩。
12-35	节选自#1峻青#1《海滨仲夏夜》
13-0	作品13号#1《海洋与生命》
13-1	生命在海洋里诞生#1绝不是偶然的，
13-2	海洋的物理#1和化学性质，使它成为#1孕育原始生命的摇篮。
13-3	我们知道，水是生物的重要组成部分。
13-4	许多动物组织的含水量#1在百分之八十以上，
13-5	而一些#1海洋生物的含水量#1高达百分之九十五。
13-6	水是新陈代谢的重要媒介，没有它，
13-7	体内的一系列生理和生物化学反应#1就无法进行，生命也就停止。
13-8	因此，在短时期内#1动物缺水#1要比缺少食物更加危险。
13-9	水对今天的生命#1是如此重要。
13-10	它对脆弱的原始生命，更是举足轻重了。
13-11	生命在海洋里诞生，就不会#1有缺水之忧。
13-12	水是一种良好的溶剂。
13-13	海洋中#1含有许多生命#1所必需的无机盐，
13-14	如氯化钠、氯化钾、碳酸盐、磷酸盐，还有溶解氧。
13-15	原始生命#1可以毫不费力地#1从中吸取它所需要的元素。
13-16	水具有很高的热容量，加之海洋浩大，任凭夏季烈日曝晒，
13-17	冬季寒风扫荡，它的温度变化#1却比较小。
13-18	因此，巨大的海洋#1就像是天然的“温箱”，是孕育原始生命的温床。
13-19	阳光虽然为生命所必需，
13-20	但是阳光中的紫外线#1却有扼杀原始生命的危险。
13-21	水能有效地吸收紫外线，
13-22	因而#1又为原始生命提供了天然的“屏障”。
13-23	这一切#1都是原始生命#1得以产生#1和发展的必要条件。
13-24	节选自#1童裳亮#1《海洋与生命》
14-0	作品14号#1《和时间赛跑》
14-1	读小学的时候，我的外祖母去世了。
14-2	外祖母生前最疼爱我，我无法排除自己的忧伤，
14-3	每天#1在学校的操场上一圈儿#1又一圈儿地跑着，
14-4	跑得累倒在地上，扑在草坪上痛哭。
14-5	那哀痛的日子，断断续续地持续了很久，
14-6	爸爸妈妈#1也不知道如何安慰我。
14-7	他们知道#1与其骗我说外祖母睡着了，还不如对我说实话：
14-8	外祖母#1永远不会回来了。
14-9	“什么是永远不会回来呢?”
14-10	我问着。
14-11	“所有时间里的事物，都永远不会回来。
14-12	你的昨天过去，它就永远变成昨天，你不能再回到昨天。
14-13	爸爸以前#1也和你一样小，现在#1也不能回到你这么小的童年了；
14-14	有一天#1你会长大，你会像外祖母一样老；
14-15	有一天#1你度过了你的时间，就永远#1不会回来了。”
14-16	爸爸说。
14-17	爸爸#1等于给我一个谜语，
14-18	这谜语#1比课本上的“日历挂在墙壁，
14-19	一天撕去一页，使我心里着急”和#1“一寸光阴一寸金，
14-20	寸金难买寸光阴”还让我感到可怕；
14-21	也比作文本上的#1“光阴似箭，
14-22	日月如梭”更让我觉得#1有一种说不出的滋味。
14-23	时间#1过得那么飞快，
14-24	使我的小心眼儿里#1不只是着急，还有悲伤。
14-25	有一天#1我放学回家，看到太阳#1快落山了，就下决心说：
14-26	“我要比太阳#1更快地回家。”
14-27	我狂奔回去，站在庭院前喘气的时候，
14-28	看到太阳#1还露着半边脸，我高兴地跳跃起来，
14-29	那一天#1我跑赢了太阳。
14-30	以后#1我就时常做那样的游戏。
14-31	有时#1和太阳赛跑，有时#1和西北风比快，
14-32	有时#1一个暑假才能做完的作业，我十天就做完了；
14-33	那时#1我三年级，常常把哥哥#1五年级的作业拿来做。
14-34	每一次比赛胜过时间，我就快乐得不知道怎么形容。
14-35	如果将来#1我有什么要教给我的孩子，我会告诉他：
14-36	假若#1你一直和时间比赛，你#1就可以成功!
14-37	节选自#1(台湾)林清玄#1《和时间赛跑》
15-0	作品15号#1《胡适的#1白话电报》
15-1	三十年代初，胡适在北京大学任教授。
15-2	讲课时#1他常常对白话文#1大加称赞，
15-3	引起一些#1只喜欢文言文#1而不喜欢白话文的学生的不满。
15-4	一次，胡适正讲得得意的时候，
15-5	一位姓魏的学生#1突然站了起来，生气地问：
15-6	“胡先生，难道说#1白话文#1就毫无缺点吗？”
15-7	胡适微笑着回答说：
15-8	“没有。”
15-9	那位学生更加激动了：
15-10	“肯定有！
15-11	白话文废话太多，打电报用字多，花钱多。”
15-12	胡适的目光#1顿时变亮了。
15-13	轻声地解释说：
15-14	“不一定吧！
15-15	前几天有位朋友给我打来电报，
15-16	请我去政府部门工作，我决定不去，就回电拒绝了。
15-17	复电是用白话写的，看来也很省字。
15-18	请同学们根据我这个意思，用文言文写一个回电，
15-19	看看究竟是白话文省字，还是文言文省字？”
15-20	胡教授刚说完，同学们立刻认真地写了起来。
15-21	十五分钟过去，胡适让同学举手，
15-22	报告用字的数目，然后#1挑了一份#1用字最少的文言电报稿。
15-23	电文#1是这样写的：
15-24	“才疏学浅，恐难胜任，不堪从命。”
15-25	白话文的意思是：
15-26	学问不深，恐怕很难担任这个工作，不能服从安排。
15-27	胡适说，这份#1写得确实不错，仅用了十二个字。
15-28	但我的白话电报#1却只用了五个字：
15-29	“干不了，谢谢!”
15-30	胡适又解释说：
15-31	“干不了”#1就有才疏学浅、恐难胜任的意思；
15-32	“谢谢”既对朋友的介绍表示感谢，又有拒绝的意思。
15-33	所以，废话多不多，并不看它#1是文言文还是白话文，
15-34	只要注意选用字词，白话文#1是可以#1比文言文更省字的。
15-35	节选自#1陈灼主编#1《实用汉语#1中级教程》
15-36	(上)中#1《胡适的白话电报》
16-0	作品16号#1《火光》
16-1	很久以前，在一个漆黑的秋天的夜晚，
16-2	我泛舟#1在西伯利亚#1一条阴森森的河上。
16-3	船到一个转弯处，
16-4	只见前面#1黑黢黢的山峰下面#1一星火光#1蓦地一闪。
16-5	火光又明又亮，好像就在眼前……
16-6	“好啦，谢天谢地！”
16-7	我高兴地说，“马上就到过夜的地方啦！”
16-8	船夫扭头朝身后的火光望了一眼，又不以为然地#1划起桨来。
16-9	“远着呢！”
16-10	我不相信他的话，因为火光#1冲破朦胧的夜色，明明在那儿闪烁。
16-11	不过#1船夫是对的，事实上，火光的确还远着呢。
16-12	这些黑夜的火光的特点是：
16-13	驱散黑暗，闪闪发亮，近在眼前，令人神往。
16-14	乍一看，再划几下就到了……
16-15	其实却还远着呢！……
16-16	我们在漆黑如墨的河上#1又划了很久。
16-17	一个个峡谷和悬崖，迎面驶来，
